"Timestamp","Seleccione su sexo","Seleccione su rango de edad","Seleccione su condición de empleo","Seleccione el rango que mejor se acerque a su ingreso anual","Seleccione ciudad donde reside","Seleccione ciudad donde trabaja","Seleccione su posición actual","Provea el título de su rol actual (opcional)","Empresa para la que trabaja (opcional)","Nivel de experiencia en su rol actual","Seleccione las industrias donde ejerce su rol actualmente","Seleccione el rango que mejor se acerque al tiempo que lleva trabajando en la industria seleccionada","Comentarios"
"2022/04/20 3:53:13 PM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Utuado","San Juan","Data Scientist","Data Scientist","","Intermedio","Financial Services;Healthcare;Services;Technology","0 a 2 años",""
"2022/04/20 4:09:44 PM AST","Hombre","26 a 30 años","Empleado","61,000 a 70,000","Naranjito","Guaynabo","Technical Services, Help Desk & Technical Support","ServiceDesk Supervisor","","Intermedio","Financial Services;Healthcare","7 a 10 años",""
"2022/04/20 4:10:35 PM AST","Hombre","18 a 25 años","Empleado","71,000 a 80,000","Morovis","Remoto (fuera de Puerto Rico)","Software Engineer","Software Engineer","Lockheed Martin","Junior","Technology","0 a 2 años",""
"2022/04/20 4:13:35 PM AST","Hombre","18 a 25 años","Empleado","41,000 a 50,000","Arecibo","Arecibo","Applications Development","React Native Developer","DGMED","Junior","Healthcare","0 a 2 años",""
"2022/04/20 4:16:25 PM AST","Hombre","26 a 30 años","Contratista","0 a 20,000","Aguadilla","Remoto (local)","Software Developer","","","Intermedio","Healthcare","2 a 5 años",""
"2022/04/20 4:21:27 PM AST","Hombre","26 a 30 años","Empleado","81,000 a 90,000","San Juan","San Juan","Lead Applications Developer","","","Senior","Services;Technology","2 a 5 años",""
"2022/04/20 4:29:05 PM AST","Hombre","26 a 30 años","Empleado","31,000 a 40,000","San Juan","Remoto (local)","Web Developer","","","Junior","Services","0 a 2 años",""
"2022/04/20 4:57:15 PM AST","Hombre","26 a 30 años","Empleado","41,000 a 50,000","Bayamón","San Juan","Software Developer","","","Senior","Healthcare;Technology","2 a 5 años",""
"2022/04/20 5:12:28 PM AST","","31 a 40 años","Empleado","51,000 a 60,000","Comerío","Guaynabo","Network Engineer","","","Intermedio","Technology","0 a 2 años",""
"2022/04/20 5:47:41 PM AST","Hombre","51 a 65 años","Empleado","41,000 a 50,000","Quebradillas","Isabela","Systems Analyst","","DXC","Senior","Technology","7 a 10 años",""
"2022/04/20 5:49:49 PM AST","Hombre","18 a 25 años","Empleado","41,000 a 50,000","Bayamón","Remoto (local)","Software Engineer","Software Engineer","e3 Consulting","Intermedio","Financial Services;Technology","0 a 2 años",""
"2022/04/20 5:54:43 PM AST","Mujer","18 a 25 años","Empleado","20,000 a 30,000","Moca","Isabela","Software Developer","","","Junior","Healthcare","0 a 2 años",""
"2022/04/20 5:54:48 PM AST","Hombre","31 a 40 años","Contratista","81,000 a 90,000","Barceloneta","San Juan","Database Administrator","","","Senior","Technology","2 a 5 años",""
"2022/04/20 6:04:14 PM AST","Hombre","26 a 30 años","Empleado","20,000 a 30,000","San Juan","San Juan","Applications Development","","","Junior","Nonprofit","0 a 2 años",""
"2022/04/20 6:20:51 PM AST","","31 a 40 años","Empleado","101,000 a 120,000","Cidra","Remoto (fuera de Puerto Rico)","Engineer","","","Senior","Technology","7 a 10 años",""
"2022/04/20 6:44:07 PM AST","Hombre","31 a 40 años","Empleado","41,000 a 50,000","San Germán","Remoto (local)","Web Developer","","","Intermedio","Technology","2 a 5 años",""
"2022/04/20 7:04:23 PM AST","Hombre","26 a 30 años","Empleado","31,000 a 40,000","Caguas","Guaynabo","PC Technician","","","Intermedio","Manufacturing;Pharmaceutical","2 a 5 años",""
"2022/04/20 7:07:21 PM AST","Hombre","51 a 65 años","Dueño de negocio","160,000+","San Juan","Remoto (local)","Consulting & Systems Integration","","","Senior","Services","más de 10 años",""
"2022/04/20 7:35:33 PM AST","Hombre","51 a 65 años","Empleado","121,000 a 140,000","Trujillo Alto","Remoto (local)","Network Architect","Mainframe Infratructure Architect","Unisys Corporation","Senior","Financial Services;Professional Services;Technology","más de 10 años",""
"2022/04/20 7:36:39 PM AST","Hombre","26 a 30 años","Empleado","61,000 a 70,000","Carolina","San Juan","Software Engineer","","","Senior","Pharmaceutical","0 a 2 años",""
"2022/04/20 8:15:01 PM AST","Hombre","18 a 25 años","Empleado","61,000 a 70,000","San Juan","San Juan","Software Development","","","Junior","","",""
"2022/04/20 8:17:24 PM AST","Hombre","31 a 40 años","Empleado","121,000 a 140,000","Trujillo Alto","Remoto (fuera de Puerto Rico)","Software Engineer","","","Intermedio","Services;Technology","más de 10 años",""
"2022/04/20 8:37:56 PM AST","Hombre","26 a 30 años","Empleado","91,000 a 100,000","Guaynabo","Guaynabo","Director","IT Director / Security Officer","","Ejecutivo","Healthcare","2 a 5 años",""
"2022/04/20 8:39:14 PM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Caguas","San Juan","Software Engineer","","","Senior","Healthcare","5 a 7 años",""
"2022/04/20 8:44:43 PM AST","Hombre","18 a 25 años","Empleado","51,000 a 60,000","San Juan","Barceloneta","Engineer","","","Junior","Construction;Manufacturing;Pharmaceutical","0 a 2 años",""
"2022/04/20 9:10:03 PM AST","Hombre","31 a 40 años","Contratista","71,000 a 80,000","Las Piedras","San Juan","Software Developer","","","Senior","Services","7 a 10 años",""
"2022/04/20 9:39:30 PM AST","","26 a 30 años","Contratista","61,000 a 70,000","San Juan","Remoto (fuera de Puerto Rico)","Developer/Programmer Analyst","DevOps Engineer ","","Intermedio","Services;Technology","2 a 5 años",""
"2022/04/20 9:43:04 PM AST","Hombre","31 a 40 años","Empleado","51,000 a 60,000","Toa Baja","Remoto (fuera de Puerto Rico)","Systems Analyst","Associate Analyst Services","Best Buy Services (Corp)","Junior","Services","0 a 2 años",""
"2022/04/20 9:43:11 PM AST","Hombre","26 a 30 años","Empleado","121,000 a 140,000","Isabela","Remoto (fuera de Puerto Rico)","Senior Web Developer","Technical Architect ","HCL","Senior","Services;Technology","7 a 10 años",""
"2022/04/20 9:51:08 PM AST","Hombre","26 a 30 años","Empleado","61,000 a 70,000","Toa Alta","San Juan","Software Engineer","Software Engineer II","Abarca","Intermedio","Healthcare;Technology","5 a 7 años",""
"2022/04/20 9:59:56 PM AST","Hombre","41 a 50 años","Empleado","61,000 a 70,000","Trujillo Alto","San Juan","Chief Technology Officer (CTO)","","","Ejecutivo","Technology","más de 10 años",""
"2022/04/20 10:01:29 PM AST","Hombre","31 a 40 años","Empleado","61,000 a 70,000","Barceloneta","Aguadilla","Systems Engineer","","","Intermedio","Technology","5 a 7 años",""
"2022/04/20 10:36:07 PM AST","Hombre","41 a 50 años","Empleado","41,000 a 50,000","Carolina","San Juan","Web Developer","","","Intermedio","Services","más de 10 años",""
"2022/04/20 10:55:19 PM AST","Hombre","31 a 40 años","Empleado","51,000 a 60,000","Guaynabo","Guaynabo","Applications Development","","","Intermedio","Healthcare","5 a 7 años",""
"2022/04/20 11:14:01 PM AST","Mujer","41 a 50 años","Empleado","51,000 a 60,000","San Juan","San Juan","Systems Administrator","","","Senior","Healthcare","5 a 7 años",""
"2022/04/20 11:15:54 PM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Guaynabo","Remoto (fuera de Puerto Rico)","Web Developer","","","Intermedio","Services","2 a 5 años","Menos de un año en el empleo actual, beneficios completos (plan médico, 401k, seguros, etc)"
"2022/04/20 11:29:39 PM AST","Mujer","31 a 40 años","Empleado","71,000 a 80,000","Guaynabo","San Juan","Project Manager","","","Senior","Financial Services;Services;Technology","más de 10 años",""
"2022/04/21 12:31:37 AM AST","Hombre","31 a 40 años","Empleado","0 a 20,000","Trujillo Alto","Bayamón","Software Engineer","Análisis e ingeniería ","Yees","Senior","Services","0 a 2 años","Deberia agregarce las opciones de tiempo parcial o Tiempo completo.."
"2022/04/21 2:36:04 AM AST","Hombre","31 a 40 años","Empleado","101,000 a 120,000","Guaynabo","San Juan","Applications Architect","","","Senior","Healthcare","7 a 10 años",""
"2022/04/21 6:49:20 AM AST","Hombre","31 a 40 años","Empleado","81,000 a 90,000","Gurabo","San Juan","Software Engineer","","","Senior","Financial Services;Healthcare","más de 10 años",""
"2022/04/21 7:07:18 AM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Guaynabo","San Juan","Software Engineer","","TransPerfect","Intermedio","","5 a 7 años",""
"2022/04/21 7:54:11 AM AST","Hombre","26 a 30 años","Empleado","61,000 a 70,000","Bayamón","San Juan","Business Intelligence Analyst","","","Senior","Healthcare","5 a 7 años",""
"2022/04/21 8:29:47 AM AST","Hombre","41 a 50 años","Empleado","61,000 a 70,000","Caguas","Caguas","Developer/Programmer Analyst","Applications and Database Developer","MCRX","Senior","Healthcare;Pharmaceutical;Services","más de 10 años",""
"2022/04/21 8:57:33 AM AST","Hombre","26 a 30 años","Empleado","121,000 a 140,000","San Juan","San Juan","Software Engineer","","","Senior","Professional Services;Technology","7 a 10 años",""
"2022/04/21 9:17:17 AM AST","Hombre","18 a 25 años","Empleado","41,000 a 50,000","Bayamón","Guaynabo","Data Analyst/Report Writer","","","Intermedio","Financial Services;Healthcare","2 a 5 años",""
"2022/04/21 9:23:34 AM AST","Mujer","41 a 50 años","Empleado","61,000 a 70,000","Río Grande","San Juan","Business Systems Analyst","","","Senior","Healthcare;Professional Services;Technology","más de 10 años",""
"2022/04/21 10:01:03 AM AST","Hombre","26 a 30 años","Empleado","41,000 a 50,000","Bayamón","Remoto (local)","Software Engineer","","","Intermedio","Professional Services;Services","2 a 5 años",""
"2022/04/21 12:47:01 PM AST","Hombre","31 a 40 años","Empleado","101,000 a 120,000","San Juan","Remoto (local)","Software Engineer","","","Senior","Technology","7 a 10 años",""
"2022/04/21 2:26:48 PM AST","Hombre","26 a 30 años","Empleado","31,000 a 40,000","Caguas","San Juan","Software Developer","Analyst II","Next Level Solutions","Junior","Services","0 a 2 años",""
"2022/04/21 8:34:54 PM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Guaynabo","Guaynabo","Software Developer","","","Senior","Healthcare;Technology","7 a 10 años",""
"2022/04/21 8:57:18 PM AST","Hombre","31 a 40 años","Empleado","101,000 a 120,000","Guaynabo","Remoto (fuera de Puerto Rico)","Big Data Engineer","Data Engineer","","Senior","Technology","más de 10 años",""
"2022/04/21 9:20:16 PM AST","Hombre","41 a 50 años","Empleado","91,000 a 100,000","San Juan","Aguadilla","Software Engineer","","","Senior","Technology","5 a 7 años",""
"2022/04/22 2:52:35 AM AST","Hombre","26 a 30 años","Empleado","121,000 a 140,000","San Juan","Remoto (fuera de Puerto Rico)","Software Engineer","","","Junior","Technology","0 a 2 años",""
"2022/04/22 7:23:56 AM AST","Hombre","51 a 65 años","Empleado","101,000 a 120,000","San Juan","San Juan","Networking/Telecommunications","","","Senior","Financial Services;Healthcare;Professional Services;Technology","más de 10 años",""
"2022/04/22 9:42:09 AM AST","Mujer","31 a 40 años","Empleado","51,000 a 60,000","Aguadilla","Aguadilla","Software Engineer","","Hewlett-Packard Enterprise","Senior","Manufacturing;Technology","5 a 7 años",""
"2022/04/22 10:52:30 AM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Guaynabo","Guaynabo","Applications Development","","","Senior","Services","7 a 10 años",""
"2022/04/22 3:37:53 PM AST","Hombre","26 a 30 años","Empleado","71,000 a 80,000","Guaynabo","Remoto (local)","Engineer","Full Stack Engineer","","Intermedio","Services;Technology","0 a 2 años",""
"2022/04/22 3:59:07 PM AST","Hombre","26 a 30 años","Empleado","71,000 a 80,000","Bayamón","San Juan","Software Developer","Software expert","","Senior","Technology","5 a 7 años",""
"2022/04/23 6:23:20 AM AST","Hombre","51 a 65 años","Dueño de negocio","0 a 20,000","Peñuelas","Peñuelas","Computer Operator","Support","","Intermedio","Healthcare;Nonprofit;Technology","2 a 5 años",""
"2022/04/23 12:28:28 PM AST","Hombre","41 a 50 años","Contratista","51,000 a 60,000","San Juan","San Juan","Business Intelligence Analyst","BI INTELLIGENCE","STK","Senior","Technology","2 a 5 años",""
"2022/04/23 6:48:28 PM AST","Hombre","18 a 25 años","Empleado","20,000 a 30,000","Bayamón","Bayamón","Software Development","","","Intermedio","Financial Services;Technology","2 a 5 años",""
"2022/04/24 2:01:13 AM AST","Hombre","18 a 25 años","Empleado","20,000 a 30,000","San Juan","San Juan","Help Desk Tier 3","Tech Support III","","Intermedio","Financial Services;Healthcare;Services;Technology","0 a 2 años",""
"2022/04/24 12:32:31 PM AST","Hombre","51 a 65 años","Empleado","160,000+","Rincón","Remoto (fuera de Puerto Rico)","Chief Technology Officer (CTO)","","","Ejecutivo","Technology","más de 10 años",""
"2022/04/25 10:25:24 PM AST","Hombre","26 a 30 años","Empleado","51,000 a 60,000","San Juan","San Juan","Software Engineer","","","Senior","Services;Technology","2 a 5 años",""
"2022/04/25 11:57:30 PM AST","Hombre","41 a 50 años","Empleado","121,000 a 140,000","San Juan","Remoto (fuera de Puerto Rico)","Applications Architect","Principal Architect","","Senior","Pharmaceutical","más de 10 años",""
"2022/04/27 4:47:46 PM AST","Hombre","31 a 40 años","Empleado","51,000 a 60,000","Guaynabo","Guaynabo","Security","Cybersecurity Engineer","","Intermedio","Technology","7 a 10 años",""